Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
274,9,25L,G1,-,BO_111,4,,,,,,,,,,,,,,,,,,,,,,,,
274,9,25R,G1,-,BO_009,5,,,,,,,,,,,,,,,,,,,,,,,,
276,9,27L,G2,X,BO_166,5,,,,,,,,,,,,,,,,,,,,,,,,
276,9,27R,G1,-,BO_169,2,,,,,,,,,,,,,,,,,,,,,,,,
279,9,30R,G2,X,BO_018,1,,,,,,,,,,,,,,,,,,,,,,,,
281,10,2L,G2,X,BO_184,3,,,,,,,,,,,,,,,,,,,,,,,,
281,10,2R,G2,X,BO_142,5,,,,,,,,,,,,,,,,,,,,,,,,
282,10,3R,G2,X,BO_199,3,,,,,,,,,,,,,,,,,,,,,,,,
283,10,4R,G1,-,BO_184,5,,,,,,,,,,,,,,,,,,,,,,,,
285,10,6L,G2,X,BO_032,3,,,,,,,,,,,,,,,,,,,,,,,,
286,10,7L,G2,X,BO_115,4,,,,,,,,,,,,,,,,,,,,,,,,
286,10,7R,G1,-,BO_149,2,,,,,,,,,,,,,,,,,,,,,,,,
287,10,8L,G1,-,BO_142,1,,,,,,,,,,,,,,,,,,,,,,,,
287,10,8R,G1,-,BO_013,4,,,,,,,,,,,,,,,,,,,,,,,,
288,10,9L,G1,-,BO_019,5,,,,,,,,,,,,,,,,,,,,,,,,
288,10,9R,G2,X,BO_089,5,,,,,,,,,,,,,,,,,,,,,,,,
289,10,10R,G2,X,BO_143,1,,,,,,,,,,,,,,,,,,,,,,,,
291,10,12L,G2,X,BO_180,1,,,,,,,,,,,,,,,,,,,,,,,,
291,10,12R,G1,-,BO_008,5,,,,,,,,,,,,,,,,,,,,,,,,
292,10,13R,G1,-,BO_060,1,,,,,,,,,,,,,,,,,,,,,,,,
293,10,14L,G1,-,BO_095,4,,,,,,,,,,,,,,,,,,,,,,,,
293,10,14R,G1,-,BO_012,3,,,,,,,,,,,,,,,,,,,,,,,,
294,10,15R,G2,X,BO_125,5,,,,,,,,,,,,,,,,,,,,,,,,
295,10,16L,G1,-,BO_146,5,,,,,,,,,,,,,,,,,,,,,,,,
296,10,17R,G2,X,BO_079,3,,,,,,,,,,,,,,,,,,,,,,,,
297,10,18R,G1,-,BO_186,4,,,,,,,,,,,,,,,,,,,,,,,,
298,10,19R,G1,-,BO_108,3,,,,,,,,,,,,,,,,,,,,,,,,
301,10,22L,G2,X,BO_001,3,,,,,,,,,,,,,,,,,,,,,,,,
302,10,23L,G1,-,BO_037,5,,,,,,,,,,,,,,,,,,,,,,,,
302,10,23R,G1,-,BO_098,2,,,,,,,,,,,,,,,,,,,,,,,,
303,10,24R,G2,X,BO_025,4,,,,,,,,,,,,,,,,,,,,,,,,
304,10,25R,G2,X,BO_177,2,,,,,,,,,,,,,,,,,,,,,,,,
305,10,26L,G1,-,BO_184,5,,,,,,,,,,,,,,,,,,,,,,,,
305,10,26R,G1,-,BO_171,1,,,,,,,,,,,,,,,,,,,,,,,,
307,10,28L,G1,-,BO_176,1,,,,,,,,,,,,,,,,,,,,,,,,
308,10,29R,G1,-,BO_180,3,,,,,,,,,,,,,,,,,,,,,,,,
309,10,30L,G2,X,BO_088,1,,,,,,,,,,,,,,,,,,,,,,,,
309,10,30R,G1,-,BO_018,4,,,,,,,,,,,,,,,,,,,,,,,,
