rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
158,3,32L,AC_051,G1,5,AC_051-G1-003-32L-5,158,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
159,3,32R,AC_197,G1,4,AC_197-G1-003-32R-4,159,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
160,3,33L,AC_058,G2,5,AC_058-G2-003-33L-5,160,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
161,3,34R,AC_190,G1,5,AC_190-G1-003-34R-5,161,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
162,3,35L,AC_034,G2,3,AC_034-G2-003-35L-3,162,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
163,3,35R,AC_074,G2,4,AC_074-G2-003-35R-4,163,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
164,4,1L,AC_111,G2,3,AC_111-G2-004-1L-3,164,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
165,4,1R,AC_187,G2,4,AC_187-G2-004-1R-4,165,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
166,4,2L,AC_046,G2,3,AC_046-G2-004-2L-3,166,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
167,4,2R,AC_096,G1,3,AC_096-G1-004-2R-3,167,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
168,4,3R,AC_011,G1,2,AC_011-G1-004-3R-2,168,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
169,4,4L,AC_104,G1,5,AC_104-G1-004-4L-5,169,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
