Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
8,6,L,G1,AC_206,1,y,3.36,c,y
8,6,R,G1,AC_186,2,y,17.03,c,y
8,8,L,G1,AC_211,1,y,31.13,c,y
8,8,R,G2,AC_017,1,y,10.63,c,y
8,9,L,G2,AC_185,4,y,15.58,c,y
8,10,L,G2,AC_100,1,y,19.78,c,y
8,10,R,G2,AC_142,2,missing,,,
8,11,L,G1,AC_204,4,y,37.5,c,y
8,12,R,G1,AC_072,2,y,4.19,c,y
8,13,R,G1,AC_082,2,y,6.2,c,y
8,14,R,G1,AC_074,5,y,16.03,c,y
8,15,L,G2,AC_160,1,y,6.24,c,y
8,15,R,G1,AC_160,1,y,6.44,c,y
8,16,L,G2,AC_133,5,y,56.96,c,y
8,16,R,G2,AC_005,2,y,3.15,c,y
8,17,L,G1,AC_206,4,y,5.97,c,y
8,17,R,G1,AC_110,3,y,3.7,c,y
8,18,R,G2,AC_123,5,y,,i,y
8,19,R,G1,AC_062,4,y,21.76,c,y
8,20,L,G1,AC_014,2,y,8.92,c,y
8,20,R,G2,AC_058,5,y,13.79,c,y
8,21,L,G2,AC_155,4,y,15.12,c,y
8,21,R,G1,AC_115,3,y,1.51,c,y
8,22,L,G2,AC_113,5,y,16.77,c,y
8,22,R,G1,AC_189,3,y,4.86,c,y
8,23,R,G2,AC_052,5,y,8.13,c,y
8,24,L,G2,AC_218,4,y,19.68,c,y
8,24,R,G2,AC_104,5,y,7.79,c,y
8,25,L,G2,AC_208,4,missing,,,
8,25,R,G2,AC_097,5,y,5.52,c,y
8,26,L,G2,AC_158,1,y,7.55,c,y
8,27,L,G2,AC_096,5,y,3.9,i,y
8,27,R,G1,AC_083,4,y,2.46,c,y
8,28,L,G2,AC_133,3,y,8.36,c,y
8,28,R,G1,AC_142,1,missing,,,
8,29,L,G2,AC_130,1,y,1.03,i,n
8,29,R,G1,AC_092,5,y,2.7,c,y
8,30,R,G1,AC_014,2,y,1.92,c,y
8,31,L,G1,AC_151,1,y,6.65,c,y
8,32,L,G2,AC_120,2,y,4.6,c,y
8,32,R,G2,AC_014,2,y,,i,n
8,33,L,G1,AC_015,1,y,6.31,c,y
8,33,R,G2,AC_151,2,y,2.58,c,y
8,34,L,G2,AC_119,3,y,1.23,c,y
8,34,R,G2,AC_088,4,y,2.85,c,y
8,35,L,G1,AC_064,4,y,1.22,c,y
8,35,R,G1,AC_182,5,y,2.74,c,y
8,36,R,G1,AC_200,2,y,28.86,c,y
9,1,L,G2,AC_182,4,y,27.38,c,y
9,2,L,G2,AC_090,2,y,,i,y
9,2,R,G1,AC_218,3,y,22.07,c,y
9,3,L,G1,AC_217,4,y,33.19,c,y
9,3,R,G2,AC_097,1,y,13.89,c,y
9,4,L,G1,AC_158,1,y,2.13,c,y
9,4,R,G1,AC_100,3,y,2.27,c,y
9,5,L,G1,AC_118,1,y,1.86,c,y
9,5,R,G1,AC_097,5,y,,i,y
9,6,L,G1,AC_201,3,y,,i,y
9,6,R,G1,AC_066,1,y,8.52,c,y
9,7,L,G1,AC_040,3,y,11.7,c,y
9,7,R,G1,AC_208,5,y,1.69,c,y
9,8,R,G2,AC_168,1,y,9.36,c,y
9,9,R,G1,AC_110,1,y,2.91,c,y
9,10,L,G1,AC_015,4,y,4.3,c,y
9,10,R,G1,AC_155,2,y,,i,y
9,11,L,G2,AC_015,1,y,1.79,c,y
9,11,R,G2,AC_154,5,y,11.35,c,y
9,12,L,G2,AC_115,1,y,4.58,c,y
9,12,R,G2,AC_092,2,y,4.9,i,y
9,13,L,G2,AC_122,4,y,28.08,c,y
9,13,R,G2,AC_048,4,y,6.33,c,y
9,14,L,G2,AC_074,5,y,4.09,c,y
9,14,R,G2,AC_211,1,y,6.01,c,y
9,15,L,G2,AC_218,1,y,19.51,c,y
9,16,L,G2,AC_082,1,y,24.43,c,y
9,17,L,G2,AC_153,1,y,5.35,c,y
9,18,R,G2,AC_051,5,y,8.4,c,y
9,19,L,G1,AC_090,3,y,,i,y
9,20,L,G1,AC_199,2,y,12.97,c,y
9,21,L,G1,AC_034,2,y,,i,n
