Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
21,1,21R,G1,BO_096,BO_178,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21R,G1,BO_096,BO_178,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21R,G1,BO_096,BO_178,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22L,G1,BO_143,BO_195,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22L,G1,BO_143,BO_195,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22L,G1,BO_143,BO_195,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22L,G1,BO_143,BO_195,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22L,G1,BO_143,BO_195,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22R,G1,BO_029,BO_190,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22R,G1,BO_029,BO_190,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22R,G1,BO_029,BO_190,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
22,1,22R,G1,BO_029,BO_190,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
